Номер вагона,Код станции операции,Название станции операции,Номер поезда,Индекс поезда,Операция,Дата операции,Код груза,Название груза,Вес груза,Код станции назначения,Название станции назначения,Код отправителя,Код получателя,Код станции отправления,Станция начала рейса,Дата приема груза к перевозке
55174361,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 6:40,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,49100,КРИВОЙ ТОРЕЦ,6/19/17 6:40
55174429,49100,КРИВОЙ ТОРЕЦ,0,49100+228+18400,ОТОТ,6/18/17 21:15,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55174429,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 14:30,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,49100,КРИВОЙ ТОРЕЦ,6/19/17 14:30
55174494,48100,РОЯ,0,48100+718+23490,ОТОТ,6/20/17 15:25,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/20/17 2:05
55174494,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/20/17 2:05,16111,УГОЛЬ Г,70,48100,РОЯ,1300,2749,45510,БОГУСЛАВСКИЙ,6/20/17 2:05
55174502,48100,РОЯ,0,48100+718+23490,ОТОТ,6/20/17 15:25,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/20/17 2:05
55174502,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/20/17 2:05,16111,УГОЛЬ Г,70,48100,РОЯ,5575,2749,45510,БОГУСЛАВСКИЙ,6/20/17 2:05
55174528,48100,РОЯ,0,48100+710+23490,ОТОТ,6/18/17 21:40,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55174528,48100,РОЯ,0,48100+810+23490,ОКОТ,6/19/17 10:00,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55174528,48100,РОЯ,242,48100+0+27490,ВЫГ2,6/19/17 10:00,16111,УГОЛЬ Г,0,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55174551,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/18/17 23:10,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,3601,5575,45460,АРОМАТНАЯ,6/18/17 23:10
55174593,48100,РОЯ,0,48100+810+23490,ОКОТ,6/19/17 10:00,16111,УГОЛЬ Г,69,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 1:35
55174593,48100,РОЯ,242,48100+0+27490,ВЫГ2,6/19/17 10:00,16111,УГОЛЬ Г,0,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 1:35
55175145,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:50,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/17/17 17:40
55175145,49290,РОДИНСКАЯ,0,49290+185+20160,ОТОТ,6/19/17 3:00,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/17/17 17:40
55175160,86380,ЧЕРКАСОВ КАМ,410,0+0+0,ПГР1,6/20/17 16:12,16111,УГОЛЬ Г,69,48480,САРТАНА,4819,3168,46350,ПЕРЕДАТОЧНАЯ,5/26/17 4:00
55175160,86380,ЧЕРКАСОВ КАМ,0,0+0+0,ПОГР,6/20/17 17:12,16111,УГОЛЬ Г,69,48480,САРТАНА,4819,0,46350,ПЕРЕДАТОЧНАЯ,5/26/17 4:00
55175160,86380,ЧЕРКАСОВ КАМ,410,0+0+0,ПГР1,6/20/17 17:12,16111,УГОЛЬ Г,69,48480,САРТАНА,4819,3168,46350,ПЕРЕДАТОЧНАЯ,5/26/17 4:00
55175236,49310,ДОБРОПОЛЬЕ,0,49310+834+11530,ПРДР,6/20/17 11:00,16111,УГОЛЬ Г,70,49310,ДОБРОПОЛЬЕ,1153,2107,49310,ДОБРОПОЛЬЕ,6/20/17 2:25
55175236,49310,ДОБРОПОЛЬЕ,0,49310+834+11530,ПРДР,6/20/17 14:00,16111,УГОЛЬ Г,70,49310,ДОБРОПОЛЬЕ,1153,2107,49310,ДОБРОПОЛЬЕ,6/20/17 2:25
55175236,49310,ДОБРОПОЛЬЕ,1153,49310+0+11530,ПГР2,6/20/17 2:25,16111,УГОЛЬ Г,70,49310,ДОБРОПОЛЬЕ,2016,2107,49310,ДОБРОПОЛЬЕ,6/20/17 2:25
55175244,38810,БУРШТЫН,242,38810+0+13000,ВЫГ2,6/19/17 11:47,16111,УГОЛЬ Г,0,38810,БУРШТЫН,2107,1300,38810,БУРШТЫН,6/19/17 11:47
55175244,38810,БУРШТЫН,0,38810+756+13000,ОТОТ,6/19/17 4:47,16111,УГОЛЬ Г,70,38810,БУРШТЫН,2107,1300,49310,ДОБРОПОЛЬЕ,6/15/17 3:50
55175293,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/18/17 23:10,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,3601,5575,45460,АРОМАТНАЯ,6/18/17 23:10
55175319,49290,РОДИНСКАЯ,2016,49290+0+20160,ПГР2,6/19/17 19:20,16111,УГОЛЬ Г,67,40900,ЛАДЫЖИН,9190,3601,49290,РОДИНСКАЯ,6/19/17 19:20
55175319,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 19:20,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,49290,РОДИНСКАЯ,6/19/17 19:20
55175319,49290,РОДИНСКАЯ,0,49290+187+20160,ОТОТ,6/19/17 9:00,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/17/17 17:50
55175400,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/20/17 21:15,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,45460,АРОМАТНАЯ,6/17/17 19:55
55175400,48220,НОВОГРОДОВКА,0,48220+420+55750,ОТОТ,6/20/17 5:00,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,9190,5575,45460,АРОМАТНАЯ,6/17/17 19:55
55175459,49100,КРИВОЙ ТОРЕЦ,0,49100+230+18400,ОТОТ,6/19/17 0:30,16111,УГОЛЬ Г,69,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175459,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 22:30,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,49100,КРИВОЙ ТОРЕЦ,6/19/17 22:30
55175467,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/19/17 15:35,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/19/17 15:35
55175467,48220,НОВОГРОДОВКА,0,48220+407+55750,ОТОТ,6/19/17 4:00,16111,УГОЛЬ Г,69,48220,НОВОГРОДОВКА,9190,5575,45510,БОГУСЛАВСКИЙ,6/17/17 2:50
55175475,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 22:30,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175475,49100,КРИВОЙ ТОРЕЦ,0,49100+231+18400,ОТОТ,6/19/17 5:30,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175491,49100,КРИВОЙ ТОРЕЦ,0,49100+230+18400,ОТОТ,6/19/17 0:30,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175491,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 22:30,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175491,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/20/17 0:50,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55175533,48220,НОВОГРОДОВКА,0,48220+404+55750,ОТОТ,6/18/17 20:40,16111,УГОЛЬ Г,69,48220,НОВОГРОДОВКА,9190,5575,45510,БОГУСЛАВСКИЙ,6/17/17 2:50
55175533,48220,НОВОГРОДОВКА,0,48220+524+55750,ПРДР,6/19/17 12:15,16111,УГОЛЬ Г,69,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/19/17 12:15
55175533,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/19/17 12:15,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/19/17 12:15
55179121,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/20/17 5:45,16111,УГОЛЬ Г,69,49290,РОДИНСКАЯ,2749,2016,45510,БОГУСЛАВСКИЙ,6/20/17 5:45
55179162,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/18/17 23:10,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,2749,5575,45460,АРОМАТНАЯ,6/18/17 23:10
55179600,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/19/17 12:55,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9819,2409,45460,АРОМАТНАЯ,6/19/17 12:55
55179600,49100,КРИВОЙ ТОРЕЦ,0,49100+237+18400,ОТОТ,6/20/17 8:45,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/19/17 12:55
55179667,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/20/17 15:30,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/20/17 15:30
55179667,48220,НОВОГРОДОВКА,0,48220+419+55750,ОТОТ,6/20/17 4:50,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,9190,5575,45460,АРОМАТНАЯ,6/17/17 19:55
55179923,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/20/17 15:30,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/20/17 15:30
55179923,48220,НОВОГРОДОВКА,0,48220+419+55750,ОТОТ,6/20/17 4:50,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,9190,5575,45460,АРОМАТНАЯ,6/17/17 19:55
55179956,49100,КРИВОЙ ТОРЕЦ,0,49100+231+18400,ОТОТ,6/19/17 5:30,16111,УГОЛЬ Г,69,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/18/17 7:15
55179956,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/20/17 14:10,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,49100,КРИВОЙ ТОРЕЦ,6/20/17 14:10
55180020,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 1:15,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,1300,2409,45510,БОГУСЛАВСКИЙ,6/19/17 1:15
55180020,49100,КРИВОЙ ТОРЕЦ,0,49100+240+18400,ОТОТ,6/20/17 15:15,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,9190,2409,45510,БОГУСЛАВСКИЙ,6/19/17 1:15
55181333,49290,РОДИНСКАЯ,0,49290+183+20160,ОТОТ,6/18/17 20:10,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55181333,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:45,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55181416,49290,РОДИНСКАЯ,0,49290+182+20160,ОТОТ,6/18/17 17:05,16111,УГОЛЬ Г,69,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 1:45
55181416,49290,РОДИНСКАЯ,2016,49290+0+20160,ПГР2,6/19/17 4:25,16111,УГОЛЬ Г,65,40900,ЛАДЫЖИН,9190,3601,49290,РОДИНСКАЯ,6/19/17 4:25
55181416,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 4:25,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,49290,РОДИНСКАЯ,6/19/17 4:25
55181754,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/20/17 5:45,16111,УГОЛЬ Г,69,49290,РОДИНСКАЯ,2749,2016,45510,БОГУСЛАВСКИЙ,6/20/17 5:45
55181853,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:50,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/17/17 17:40
55181853,49290,РОДИНСКАЯ,0,49290+185+20160,ОТОТ,6/19/17 3:00,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/17/17 17:40
55185722,48100,РОЯ,0,48100+810+23490,ОКОТ,6/19/17 10:00,16111,УГОЛЬ Г,69,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 1:35
55185722,48100,РОЯ,242,48100+0+27490,ВЫГ2,6/19/17 10:00,16111,УГОЛЬ Г,0,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 1:35
55193189,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 6:40,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,45460,АРОМАТНАЯ,6/16/17 19:00
55193254,48100,РОЯ,0,48100+714+23490,ОТОТ,6/19/17 23:45,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 13:45
55193254,48100,РОЯ,242,48100+0+27490,ВЫГ2,6/20/17 7:00,16111,УГОЛЬ Г,0,48100,РОЯ,9190,2749,48100,РОЯ,6/20/17 7:00
55193403,38810,БУРШТЫН,0,38810+757+13000,ОТОТ,6/19/17 11:04,16111,УГОЛЬ Г,70,38810,БУРШТЫН,9190,1300,45510,БОГУСЛАВСКИЙ,6/16/17 5:45
55193403,38810,БУРШТЫН,242,38810+0+13000,ВЫГ2,6/19/17 16:04,16111,УГОЛЬ Г,0,38810,БУРШТЫН,9190,1300,45510,БОГУСЛАВСКИЙ,6/16/17 5:45
55193486,48100,РОЯ,0,48100+718+23490,ОТОТ,6/20/17 15:25,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/20/17 3:40
55193486,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/20/17 3:40,16111,УГОЛЬ Г,70,48100,РОЯ,2749,2749,45510,БОГУСЛАВСКИЙ,6/20/17 3:40
55193585,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/18/17 23:10,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,2749,5575,45460,АРОМАТНАЯ,6/18/17 23:10
55193684,48220,НОВОГРОДОВКА,242,48220+0+55750,ВЫГ2,6/19/17 2:55,16111,УГОЛЬ Г,0,48220,НОВОГРОДОВКА,9190,5575,48220,НОВОГРОДОВКА,6/19/17 2:55
55193767,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 7:20,16111,УГОЛЬ Г,70,48100,РОЯ,1300,2749,45510,БОГУСЛАВСКИЙ,6/19/17 7:20
55193767,48100,РОЯ,0,48100+716+23490,ОТОТ,6/20/17 3:35,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/19/17 7:20
55194047,48100,РОЯ,0,48100+710+23490,ОТОТ,6/18/17 21:40,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55194047,48100,РОЯ,0,48100+810+23490,ОКОТ,6/19/17 10:00,16111,УГОЛЬ Г,70,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55194047,48100,РОЯ,242,48100+0+27490,ВЫГ2,6/19/17 10:00,16111,УГОЛЬ Г,0,48100,РОЯ,9190,2749,45510,БОГУСЛАВСКИЙ,6/18/17 12:25
55197438,48200,ПОКРОВСК,6302,48200+0+0,ДОСЛ,6/19/17 23:05,16111,УГОЛЬ Г,69,49290,РОДИНСКАЯ,9190,6302,48200,ПОКРОВСК,6/17/17 18:45
55197784,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 22:20,16111,УГОЛЬ Г,70,48100,РОЯ,1300,2749,45510,БОГУСЛАВСКИЙ,6/19/17 22:20
55198071,40900,ЛАДЫЖИН,242,40900+0+36010,ВЫГ2,6/19/17 6:30,16111,УГОЛЬ Г,0,40900,ЛАДЫЖИН,2016,3601,49290,РОДИНСКАЯ,6/15/17 10:25
55198253,40900,ЛАДЫЖИН,242,40900+0+36010,ВЫГ2,6/18/17 23:40,16111,УГОЛЬ Г,0,40900,ЛАДЫЖИН,2016,3601,49290,РОДИНСКАЯ,6/16/17 19:15
55198311,40900,ЛАДЫЖИН,0,40900+600+36010,ОТОТ,6/19/17 12:20,16111,УГОЛЬ Г,70,40900,ЛАДЫЖИН,9190,3601,45510,БОГУСЛАВСКИЙ,6/17/17 14:10
55198311,40900,ЛАДЫЖИН,242,40900+0+36010,ВЫГ2,6/20/17 1:40,16111,УГОЛЬ Г,0,40900,ЛАДЫЖИН,9190,3601,45510,БОГУСЛАВСКИЙ,6/17/17 14:10
55198345,49290,РОДИНСКАЯ,0,49290+183+20160,ОТОТ,6/18/17 20:10,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55198345,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:45,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55198451,35000,ЗДОЛБУНОВ,6302,35000+0+0,ДОСЛ,6/18/17 17:30,16111,УГОЛЬ Г,70,38810,БУРШТЫН,9190,6302,35000,ЗДОЛБУНОВ,6/18/17 17:30
55198790,45460,АРОМАТНАЯ,9190,45460+0+91900,ПГР2,6/18/17 23:10,16111,УГОЛЬ Г,70,48220,НОВОГРОДОВКА,2749,5575,45460,АРОМАТНАЯ,6/18/17 23:10
55198873,49290,РОДИНСКАЯ,0,49290+183+20160,ОТОТ,6/18/17 20:10,16111,УГОЛЬ Г,69,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55198873,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:45,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55198907,40900,ЛАДЫЖИН,242,40900+0+36010,ВЫГ2,6/19/17 3:00,16111,УГОЛЬ Г,0,40900,ЛАДЫЖИН,2016,3601,49290,РОДИНСКАЯ,6/15/17 19:50
55199376,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 4:35,16111,УГОЛЬ Г,70,49100,КРИВОЙ ТОРЕЦ,2749,2409,45510,БОГУСЛАВСКИЙ,6/19/17 4:35
55199426,49290,РОДИНСКАЯ,0,49290+183+20160,ОТОТ,6/18/17 20:10,16111,УГОЛЬ Г,70,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55199426,49290,РОДИНСКАЯ,242,49290+0+20160,ВЫГ2,6/19/17 10:45,16111,УГОЛЬ Г,0,49290,РОДИНСКАЯ,9190,2016,45510,БОГУСЛАВСКИЙ,6/16/17 12:50
55199509,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 22:20,16111,УГОЛЬ Г,70,48100,РОЯ,1300,2749,45510,БОГУСЛАВСКИЙ,6/19/17 22:20
55199574,45510,БОГУСЛАВСКИЙ,9190,45510+0+91900,ПГР2,6/19/17 22:20,16111,УГОЛЬ Г,70,48100,РОЯ,1300,2749,45510,БОГУСЛАВСКИЙ,6/19/17 22:20
55199632,49100,КРИВОЙ ТОРЕЦ,242,49100+0+24090,ВЫГ2,6/19/17 6:40,16111,УГОЛЬ Г,0,49100,КРИВОЙ ТОРЕЦ,9190,2409,49100,КРИВОЙ ТОРЕЦ,6/19/17 6:40
